item_id,domain,evidence_text,source_name,source_page,source_url,date_time,location,claim_text,label,claim_type
transport_001_S,transport,"Haymarket Station Due to storm damage, the Percy Street entrance is currently closed.",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Haymarket,The Percy Street entrance to Haymarket Metro station is currently closed following storm damage.,Supported,approximate_paraphrase
transport_001_R,transport,"Haymarket Station Due to storm damage, the Percy Street entrance is currently closed.",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Haymarket,The Percy Street entrance to Monument Metro station is currently closed following storm damage.,Refuted,location_mismatch
transport_001_N,transport,"Haymarket Station Due to storm damage, the Percy Street entrance is currently closed.",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Haymarket,The Percy Street entrance at Haymarket Metro station was closed after storm damage occurred on 12th April.,Not Enough Evidence,time_mismatch
transport_002_S,transport,Northumberland Park Car Park There is a temporary reduction in spaces available at Northumberland Park Car Park while we carry out repairs due to intentional damage to maintain a safe environment.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Tyne and Wear Metro,Northumberland Park Car Park has a temporary reduction in available spaces while repairs are carried out following intentional damage.,Supported,direct_support
transport_002_R,transport,Northumberland Park Car Park There is a temporary reduction in spaces available at Northumberland Park Car Park while we carry out repairs due to intentional damage to maintain a safe environment.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Tyne and Wear Metro,Northumberland Park Car Park is operating normally with no reduction in available parking spaces.,Refuted,negation
transport_002_N,transport,Northumberland Park Car Park There is a temporary reduction in spaces available at Northumberland Park Car Park while we carry out repairs due to intentional damage to maintain a safe environment.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Tyne and Wear Metro,The intentional damage at Northumberland Park Car Park that caused the reduction in parking spaces was reported to Northumbria Police and is under investigation.,Not Enough Evidence,unsupported_extra_detail
transport_003_S,transport,We are operating a temporary revised timetable affecting trains between South Gosforth and Benton in both directions.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Benton,Metro trains between South Gosforth and Benton are currently running on a temporary revised timetable in both directions.,Supported,approximate_paraphrase
transport_003_R,transport,We are operating a temporary revised timetable affecting trains between South Gosforth and Benton in both directions.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Benton,Metro trains between Regent Centre and Benton are currently running on a temporary revised timetable in both directions.,Refuted,location_mismatch
transport_003_N,transport,We are operating a temporary revised timetable affecting trains between South Gosforth and Benton in both directions.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Benton,The revised Metro timetable between South Gosforth and Benton has been introduced to accommodate planned track renewal works in the affected section.,Not Enough Evidence,cause_mismatch
transport_004_S,transport,Whitley Bay footbridge The smaller footbridge within the station is out of use.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Whitley Bay,The smaller footbridge at Whitley Bay Metro station is currently out of use.,Supported,direct_support
transport_004_R,transport,Whitley Bay footbridge The smaller footbridge within the station is out of use.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Whitley Bay,Both footbridges at Whitley Bay Metro station are fully operational.,Refuted,negation
transport_004_N,transport,Whitley Bay footbridge The smaller footbridge within the station is out of use.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Whitley Bay,The smaller footbridge at Whiteley Bay Metro station is out of use due to safety concerns with the walkway surface.,Not Enough Evidence,unsupported_extra_detail
transport_005_S,transport,University staircase work The staircases at University station are closed until further notice while maintenance work takes place.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,University,The staircases at University Metro station are closed for maintenance work with no fixed reopening date.,Supported,direct_support
transport_005_R,transport,University staircase work The staircases at University station are closed until further notice while maintenance work takes place.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,University,The staircases at University Metro station are fully open to the public.,Refuted,negation
transport_005_N,transport,University staircase work The staircases at University station are closed until further notice while maintenance work takes place.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,University,The staircases at University Metro station are closed due to fire safety concerns identified during an inspection.,Not Enough Evidence,cause_mismatch
transport_006_S,transport,Monkseaton station work We're carrying out inspections and roof repairs at Monkseaton station which requires scaffolding.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Monkseaton,There are inspections and roof repairs being carried out at Monkseaton station.,Supported,approximate_paraphrase
transport_006_R,transport,Monkseaton station work We're carrying out inspections and roof repairs at Monkseaton station which requires scaffolding.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Monkseaton,There are inspections and roof repairs being carried out at Haymarket station.,Refuted,location_mismatch
transport_006_N,transport,Monkseaton station work We're carrying out inspections and roof repairs at Monkseaton station which requires scaffolding.,Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-14T14:47:56.085623+00:00,Monkseaton,Inspections and roof repairs are being done at Monkseaton station due to storm damage.,Not Enough Evidence,cause_mismatch
transport_007_S,transport,"Monday, 13 April 2026- Friday 17 April Five day line closure: Five day line closure between South Shields and Pelaw Monday 13 to Friday 17 April 2026 No trains will run between South Shields and Pelaw in both directions for five days from Monday 13",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,South Shields,The Metro line between South Shields and Pelaw is closed in both directions for five days from Monday 13 April to Friday 17 April 2026.,Supported,direct_support
transport_007_R,transport,"Monday, 13 April 2026- Friday 17 April Five day line closure: Five day line closure between South Shields and Pelaw Monday 13 to Friday 17 April 2026 No trains will run between South Shields and Pelaw in both directions for five days from Monday 13",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,South Shields,Metro trains are running as normal between South Shields and Pelaw this week.,Refuted,negation
transport_007_N,transport,"Monday, 13 April 2026- Friday 17 April Five day line closure: Five day line closure between South Shields and Pelaw Monday 13 to Friday 17 April 2026 No trains will run between South Shields and Pelaw in both directions for five days from Monday 13",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,South Shields,The Metro closure between South Shields and Pelaw this week is due to a signalling fault on the line.,Not Enough Evidence,cause_mismatch
transport_008_S,transport,"Sunday, 03 May 2026- No trains between Pelaw and South Hylton 3, 4 May 2026: No trains between Pelaw and South Hylton all day on Sunday 3 and bank holiday Monday 4 May 2026",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,Pelaw,There will be no Metro trains between Pelaw and South Hylton all day on Sunday 3 May and bank holiday Monday 4 May 2026.,Supported,direct_support
transport_008_R,transport,"Sunday, 03 May 2026- No trains between Pelaw and South Hylton 3, 4 May 2026: No trains between Pelaw and South Hylton all day on Sunday 3 and bank holiday Monday 4 May 2026",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,Pelaw,Metro services between Pelaw and South Hylton are operating normally on 3 and 4 May.,Refuted,negation
transport_008_N,transport,"Sunday, 03 May 2026- No trains between Pelaw and South Hylton 3, 4 May 2026: No trains between Pelaw and South Hylton all day on Sunday 3 and bank holiday Monday 4 May 2026",Nexus Metro Updates,Metro Live Travel News,https://www.nexus.org.uk/metro/updates,2026-04-13T10:52:57.757980+00:00,Pelaw,Metro services between Pelaw and South Hylton are suspended on 3 and 4 May due to an emergency track repair.,Not Enough Evidence,cause_mismatch
